Rank,Title,Runtime,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical,Rating,Director,Lead,Votes
137,Thirteen,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Catherine Hardwicke,Evan Rachel Wood,"91,452"
138,Harry Potter and the Goblet of Fire,157,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.7,Mike Newell,Daniel Radcliffe,"640,449"
139,Mean Girls,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Mark Waters,Lindsay Lohan,"394,224"
140,Encanto,102,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.2,Jared Bush,Stephanie Beatriz,"231,402"
141,Free Guy,115,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Shawn Levy,Ryan Reynolds,"381,811"
142,Spring Breakers,94,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.3,Harmony Korine,Vanessa Hudgens,"144,343"
143,Shotgun Wedding,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.4,Jason Moore,Jennifer Lopez,"27,365"
144,Wonder Woman 1984,151,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.4,Patty Jenkins,Gal Gadot,"274,882"
145,Pinocchio,105,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Robert Zemeckis,Joseph Gordon-Levitt,"37,508"
146,Pride & Prejudice,129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,Joe Wright,Keira Knightley,"304,196"
147,It,135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3,Andy Muschietti,Bill Skarsgård,"561,355"
148,She Said,129,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.2,Maria Schrader,Lola Petticrew,"23,748"
149,The Lion King,118,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Jon Favreau,Donald Glover,"250,612"
150,White Noise,136,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.7,Noah Baumbach,Adam Driver,"36,038"
151,Catch Me If You Can,141,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.1,Steven Spielberg,Leonardo DiCaprio,"1,006,011"
152,Doctor Strange in the Multiverse of Madness,126,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.9,Sam Raimi,Benedict Cumberbatch,"430,372"
153,Jojo Rabbit,108,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,Taika Waititi,Roman Griffin Davis,"403,215"
154,Ford v Ferrari,152,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.1,James Mangold,Matt Damon,"408,439"
155,Arrival,116,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7.9,Denis Villeneuve,Amy Adams,"709,944"
156,Roald Dahl's Matilda the Musical,117,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.1,Matthew Warchus,Alisha Weir,"21,155"
157,Suicide Squad,123,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.9,David Ayer,Will Smith,"694,438"
158,Sicario,121,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.6,Denis Villeneuve,Emily Blunt,"440,745"
159,Puss in Boots,90,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,Chris Miller,Antonio Banderas,"176,854"
160,Guardians of the Galaxy,121,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,James Gunn,Chris Pratt,"1,195,588"
161,Turning Red,100,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Domee Shi,Rosalie Chiang,"130,341"
162,Sing 2,110,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,Garth Jennings,Matthew McConaughey,"72,968"
163,A Star Is Born,136,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.6,Bradley Cooper,Lady Gaga,"393,376"
164,Hacksaw Ridge,139,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8.1,Mel Gibson,Andrew Garfield,"540,611"
165,Eternals,156,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3,Chloé Zhao,Gemma Chan,"352,108"
166,Ant-Man,117,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,Peyton Reed,Paul Rudd,"684,522"
